"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\emanu\lnu\Åk2\1DV610\Uppgifter\Uppgift2\text-resizer\src\controller.js", "JavaScript", 15, 0, 3, 18
"Total", "-", 15, 0, 3, 18
