"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\emanu\lnu\Åk2\1DV610\Uppgifter\Uppgift2\text-resizer\src\controller.js", "JavaScript", 5, 0, 1, 6
"Total", "-", 5, 0, 1, 6
